epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7481,1.30169,2.888,1.57183,0.61144,0.23397,0.26742,0.14698,1.56653,2.64967,1.9141,0.000330556,0.000330556,0.000330556
2,85.2318,1.29521,2.08477,1.54597,0.5494,0.36069,0.35553,0.17323,1.73434,2.16426,2.04588,0.000650744,0.000650744,0.000650744
3,126.043,1.33185,1.95409,1.5585,0.51554,0.26315,0.2787,0.15339,1.75605,2.24975,1.97024,0.000957732,0.000957732,0.000957732
4,165.716,1.32414,1.82117,1.56041,0.58945,0.39059,0.36114,0.17409,1.67229,1.90273,1.96966,0.0009406,0.0009406,0.0009406
5,205.483,1.28675,1.67727,1.52887,0.57833,0.23391,0.25998,0.126,1.7113,2.33623,1.8888,0.0009208,0.0009208,0.0009208
6,245.016,1.24516,1.55787,1.51885,0.46716,0.38662,0.33889,0.17127,1.68976,2.20344,1.84947,0.000901,0.000901,0.000901
7,284.9,1.24483,1.50358,1.48765,0.53806,0.41975,0.38837,0.20075,1.56536,1.76068,1.85261,0.0008812,0.0008812,0.0008812
8,325.039,1.20174,1.41998,1.47513,0.52168,0.4373,0.45784,0.23411,1.52857,1.64212,1.76421,0.0008614,0.0008614,0.0008614
9,364.272,1.19925,1.38772,1.44729,0.41349,0.48349,0.4786,0.23976,1.57254,1.52802,1.77137,0.0008416,0.0008416,0.0008416
10,403.445,1.15853,1.30128,1.43734,0.60923,0.43802,0.48379,0.2557,1.48261,1.52537,1.72831,0.0008218,0.0008218,0.0008218
11,443.46,1.15391,1.25988,1.42078,0.50364,0.45557,0.47479,0.25693,1.50023,1.57272,1.71574,0.000802,0.000802,0.000802
12,482.47,1.12434,1.23887,1.40155,0.71793,0.43498,0.50669,0.27677,1.45168,1.39959,1.67253,0.0007822,0.0007822,0.0007822
13,522.454,1.12604,1.20532,1.39697,0.65239,0.40781,0.48292,0.27182,1.44725,1.43013,1.67546,0.0007624,0.0007624,0.0007624
14,561.512,1.11352,1.19392,1.39407,0.41637,0.42561,0.41759,0.20803,1.59606,1.54127,1.76215,0.0007426,0.0007426,0.0007426
15,601.555,1.07585,1.12792,1.38343,0.64446,0.43744,0.53049,0.3104,1.40859,1.33994,1.65247,0.0007228,0.0007228,0.0007228
16,641.018,1.06986,1.11889,1.36308,0.83628,0.37426,0.47694,0.26648,1.44032,1.41757,1.65889,0.000703,0.000703,0.000703
17,680.069,1.0451,1.0806,1.35287,0.64374,0.47547,0.51657,0.29056,1.45596,1.40695,1.7065,0.0006832,0.0006832,0.0006832
18,720.205,1.04633,1.07339,1.34877,0.74872,0.45648,0.52514,0.30365,1.42472,1.33633,1.66814,0.0006634,0.0006634,0.0006634
19,760.086,1.01915,1.02987,1.33429,0.5447,0.54104,0.56026,0.30769,1.41218,1.28845,1.62431,0.0006436,0.0006436,0.0006436
20,799.894,0.99951,0.99444,1.31858,0.82193,0.45139,0.58033,0.33508,1.39176,1.27769,1.62861,0.0006238,0.0006238,0.0006238
21,839.98,0.97792,0.96936,1.31319,0.75112,0.53115,0.59762,0.3558,1.36484,1.20261,1.58766,0.000604,0.000604,0.000604
22,880.227,0.97463,0.95115,1.30226,0.68539,0.5051,0.59471,0.32692,1.3879,1.247,1.61478,0.0005842,0.0005842,0.0005842
23,920.237,0.9979,0.97129,1.30776,0.68665,0.46589,0.52819,0.31116,1.36995,1.29794,1.58277,0.0005644,0.0005644,0.0005644
24,960.356,0.96786,0.94443,1.2871,0.6195,0.56692,0.58072,0.33305,1.3691,1.22028,1.61707,0.0005446,0.0005446,0.0005446
25,1000.83,0.95313,0.91202,1.29064,0.8044,0.49524,0.6037,0.35348,1.34514,1.20733,1.57967,0.0005248,0.0005248,0.0005248
26,1041.17,0.95393,0.89462,1.27668,0.67942,0.51267,0.56101,0.32318,1.36085,1.23505,1.58843,0.000505,0.000505,0.000505
27,1081.81,0.97067,0.90683,1.27911,0.74225,0.54808,0.61209,0.35437,1.35556,1.28786,1.58552,0.0004852,0.0004852,0.0004852
28,1120.88,0.93292,0.87111,1.26553,0.77528,0.51515,0.61348,0.34878,1.36167,1.17096,1.59014,0.0004654,0.0004654,0.0004654
29,1160.5,0.92548,0.84345,1.25711,0.79967,0.47337,0.60684,0.36281,1.32893,1.19192,1.56308,0.0004456,0.0004456,0.0004456
30,1200.4,0.91091,0.83277,1.25267,0.67118,0.53139,0.60667,0.36299,1.33552,1.15835,1.55692,0.0004258,0.0004258,0.0004258
31,1240.84,0.91038,0.84714,1.25326,0.60068,0.52541,0.55291,0.32242,1.35397,1.2128,1.57979,0.000406,0.000406,0.000406
